id	name
300	Deck Master Functions
301	Reserved for Action Duel
419	Anime Functions/Constants
420	Anime Archetype Token
421	Divine Hierarchy Token
422	Ice Pillar Token
946	Generic Token
4001	Strings Placeholder 1
4002	Strings Placeholder 2
4003	Strings Placeholder 3
4004	String Placeholder 4
4005	Strings Placeholder 5
4006	Strings Placeholder 6
4007	Strings Placeholder 7
4008	String Placeholder 8
4009	String Placeholder 9
4010	String Placeholder 10
4011	String Placeholder 11
4012	String Placeholder 12
4013	String Placeholder 13
4014	String Placeholder 14
4015	String Placeholder 15
4016	String Placeholder 16
4017	String Placeholder 17
10000050	Legendary Dragon Timaeus
10000060	Legendary Dragon Critias
10000070	Legendary Dragon Hermos
95000000	Boss Duel
95000001	Darkness/Monster A
95000002	Darkness/Monster B
95000003	Darkness/Spell A
95000004	Darkness/Trap B
95000005	Darkness/Trap A
95000006	Darkness/Trap C
95000007	Darkness/Trap D
95000008	Darkness/Trap E
95000009	Pegasus/Monster A
95000010	Pegasus/Monster B
95000011	Pegasus/Monster C
95000012	Pegasus/Spell A
95000013	Pegasus/Spell C
95000014	Pegasus/Monster D
95000015	Pegasus/Spell B
95000016	Pegasus/Trap A
95000017	Don Thousand/Spell B
95000018	Number 1 Token
95000019	Number 2 Token
95000020	Number 3 Token
95000021	Number 4 Token
95000022	Don Thousand/Monster A
95000023	Don Thousand/Spell A
95000024	Don Thousand/Spell C
95000025	Don Thousand/Monster B
95000026	Don Thousand/Monster C
95000027	Don Thousand/Trap A
95000028	Don Thousand/Trap B
95000029	Z-ONE/Trap A
95000030	Z-ONE/Monster A
95000031	Hairon, the Timelord Token
95000032	Camion, the Timelord Token
95000033	Z-ONE/Monster B
95000034	Zadion, the Timelord Token
95000035	Raphion, the Timelord Token
95000036	Z-ONE/Monster D
95000037	Z-ONE/Trap B
95000038	Z-ONE/Monster C
95000039	Metaion, the Timelord Token
95000040	Tzaphion, the Timelord Token
95000041	Z-ONE/Trap C
95000042	Z-ONE/Monster E
95000101	Underworld Evasion Token
95200000	Command Duel
95200001	Command Duel 1
95200002	Command Duel 2
95200003	Command Duel 3
95200004	Command Duel 4
95200005	Command Duel 5
95200006	Command Duel 6
95200007	Command Duel 7
95200008	Command Duel 8
95200009	Command Duel 9
95200010	Command Duel 10
95200011	Command Duel 11
95200012	Command Duel 12
95200013	Command Duel 13
95200014	Command Duel 14
95200015	Command Duel 15
95200016	Command Duel 16
95200017	Command Duel 17
95200018	Command Duel 18
95200019	Command Duel 19
95200020	Command Duel 20
95200021	Command Duel 21
95200022	Command Duel 22
95200023	Command Duel 23
95200024	Command Duel 24
95200025	Command Duel 25
95200101	Command Duel JP1
95200102	Command Duel JP2
100000000	Chaos End Ruler - Ruler of the Beginning and the End
100000001	Hand-Holding Genie (TF6)
100000002	Sandaion, the Timelord (VG)
100000003	Hailon, the Timelord (VG)
100000004	Raphion, the Timelord (VG)
100000005	Gabrion, the Timelord (VG)
100000006	Kamion, the Timelord (TF6)
100000007	Zaphion, the Timelord (TF6)
100000008	Michion, the Timelord (VG)
100000009	Lazion, the Timelord (TF6)
100000010	Time Maiden (TF6)
100000011	Time Angel
100000012	Empty Machine (VG)
100000013	Infinite Machine (VG)
100000014	Infinite Light (VG)
100000015	Sadion, the Timelord (TF6)
100000020	Afterglow
100000021	Empress's Staff
100000022	Satellite Laser Balsam
100000023	Fossil Machine Skull Convoy
100000024	Time Stream
100000025	Fossil Fusion
100000026	Cenozoic Fossil Knight - Skullger
100000027	Mesozoic Fossil Knight - Skullknight
100000028	Paleozoic Fossil Knight - Skullking
100000029	Paleozoic Fossil Dragon - Skullgeoth
100000030	Dimension Equilibrium
100000031	Beast Burial Ritual
100000032	Dark Archetype
100000033	Dark Psycho Eye
100000034	Triangle O
100000035	Crystal Skull
100000036	Ashoka Pillar
100000037	Cabrera Stone
100000038	Aurora Draw
100000039	Convert Ghost
100000040	Infinity Force
100000041	Efflorescent Knight
100000042	Armored White Bear
100000043	Skiel Attack 5
100000044	Skiel Carrier 5
100000045	Skiel Attack 3
100000046	Skiel Carrier 3
100000047	Wisel Guard 3
100000048	Wisel Attack 3
100000049	Wisel Top 3
100000050	Meklord Emperor Wisel ∞
100000051	Wisel Top
100000052	Wisel Attack
100000053	Wisel Guard
100000054	Wisel Carrier
100000055	Wise Core
100000056	Meklord Emperor Skiel ∞
100000057	Skiel Top
100000058	Skiel Attack
100000059	Skiel Guard
100000060	Skiel Carrier
100000061	Meklord Emperor Granel ∞
100000062	Granel Top
100000063	Granel Attack
100000064	Granel Guard
100000065	Granel Carrier
100000066	Sky Core
100000067	Grand Core
100000068	Meklord Emperor Creation
100000069	Dark Summoning Beast (TF3)
100000070	Future Destruction
100000072	Chaos Blast
100000073	Dark Renewal (Anime)
100000074	Giant Ushi Oni
100000075	Red Nova (TF6)
100000076	Level Doubler
100000078	Quick Summon
100000079	Scrap Fusion
100000080	Infinite Fiend Mirror
100000081	Load of Darkness
100000082	Load of Darkness Token
100000083	Illusion Gate
100000084	Fallen Paradise (TF3)
100000085	B.E.S. Assault Core
100000086	Mirror Resonator (TF6)
100000087	Chain Resonator (TF6)
100000088	Battle Return
100000089	Hyper Coat
100000090	Malefic Force
100000091	Malefic Selector (TF6)
100000092	Malefic Paradigm Shift
100000093	Malefic Divide (TF6)
100000094	Malefic Tune (TF6)
100000096	Sad Story - Sorrowful Memories
100000097	Sad Story - Unwavering Truth
100000098	Sad Story - Atrocious Day
100000099	Sorrowful Chain
100000100	Power Wall (TF3)
100000101	Ojamandala
100000102	Neos Spiral Force
100000103	Dark Spiral Force
100000104	Dark Magic Twin Burst (TF6)
100000105	Arcana Force VIII - The Strength
100000106	Arcana Force XII - The Hanged Man
100000107	The Material Lord
100000108	The Spiritual Lord
100000109	The Sky Lord
100000110	Zushin the Sleeping Giant (TF6)
100000111	Scrum Force (TF6)
100000113	Red-Eyes Burn (Anime)
100000114	Sowing of the Fool
100000115	Magician's Scales
100000116	Arcana Force XV - The Fiend
100000117	Life Force
100000118	Ojama Ride
100000119	Ojama Delta Thunder!!
100000120	Unacceptable Result (VG)
100000121	Miracle Stone (VG)
100000122	Luck Loan (VG)
100000124	Fortune Fairy Hikari (VG)
100000125	Fortune Fairy En (VG)
100000126	Fortune Fairy Hu (VG)
100000127	Fortune Fairy Swee (VG)
100000128	Fortune Fairy Ann (VG)
100000129	Fortune Fairy Chee (VG)
100000136	Defense Maiden
100000137	Happy Marriage
100000138	Cupid Kiss
100000139	Maiden in Love
100000140	Dark Tuner Nightmare Hand
100000141	Dark Tuner Doom Submarine
100000142	Dark Tuner Chaos Rogue
100000143	Dark Tuner Catastrogue
100000144	Dark Tuner Spider Cocoon
100000145	Dark Tuner - Dark Goddess Witaka
100000146	Dark Tuner Dark Ape
100000147	Dark Wave
100000149	Dimensional Catapult
100000150	Hundred Eyes Dragon (TF6)
100000151	Dark Flattop (TF6)
100000152	Zeman the Ape King (TF6)
100000153	Moon Dragon Quilla (TF6)
100000154	Underground Arachnid (TF6)
100000155	Frozen Fitzgerald (TF6)
100000156	Dark Diviner (TF6)
100000157	Blizzard Lizard
100000158	Ice Mirror
100000159	Assault Dog (TF6)
100000160	Clear Cube
100000161	Clear Phantom
100000162	Clear Rage Golem
100000163	Clear Vicious Knight
100000164	Clear Wall
100000166	Last Machine Acid Virus
100000167	Miracle Rupture
100000168	ZEXAL Catapult
100000169	Heraldry Blast
100000170	Stray Cat
100000171	Stray Cat Girl
100000172	Cat Girl
100000173	Inviting Cat
100000174	Cat Meeting
100000175	Cat World
100000176	Mysterious Cat Transformation
100000177	Monster Cat
100000178	Twin-Tail Cat Lady
100000179	Cat Girl Magician
100000180	Cat Food
100000181	Cat Confusion
100000182	Gold Coins for Cats
100000183	Catnip Turbine
100000185	Bonds of Rival
100000186	Sphere Field
100000187	Malevolent Flash
100000188	Neverending Nightmare
100000189	Infernal Sun
100000190	Dice Leveler
100000191	Triple Ace
100000192	Dream Dice
100000193	Sun Scale
100000194	Dice Crisis
100000195	Majestic Jester
100000196	Attribute Mastery
100000197	Attribute Bomb
100000198	Attribute Chameleon
100000199	Berserker Soul (TF6)
100000200	Gimmick Puppet Princess
100000206	Gimmick Puppet Scarecrow
100000209	Puppet Repair
100000210	Attack Gimmick
100000211	String of Destiny
100000212	Gimmick Box
100000218	Heraldry Burst
100000219	Heraldry Curse
100000220	Change to Jet Iron
100000221	Heroic Change
100000222	Heroic Guard
100000223	Heroic Call
100000224	Scab Scar Knight
