id	type
300	16385
301	16384
419	16385
420	16384
421	16384
422	16384
946	16385
4001	16384
4002	16384
4003	16384
4004	16384
4005	16384
4006	16384
4007	16384
4008	16384
4009	16384
4010	16384
4011	16384
4012	16384
4013	16384
4014	16384
4015	16384
4016	16384
4017	16384
10000050	16384
10000060	16384
10000070	16384
95000000	2
95000001	33
95000002	33554465
95000003	524290
95000004	131076
95000005	131076
95000006	131076
95000007	131076
95000008	131076
95000009	4194337
95000010	4194337
95000011	4194337
95000012	524290
95000013	65538
95000014	33
95000015	65538
95000016	4
95000017	2
95000018	16417
95000019	16417
95000020	16417
95000021	16417
95000022	33
95000023	524290
95000024	65538
95000025	33554465
95000026	33554465
95000027	1048580
95000028	1048580
95000029	131076
95000030	33554465
95000031	16417
95000032	16417
95000033	33554465
95000034	16417
95000035	16417
95000036	33
95000037	131076
95000038	33554465
95000039	16417
95000040	16417
95000041	131076
95000042	33554465
95000101	16385
95200000	2
95200001	16386
95200002	16386
95200003	16386
95200004	16386
95200005	16386
95200006	16386
95200007	16386
95200008	16386
95200009	16386
95200010	16386
95200011	16386
95200012	16386
95200013	16386
95200014	16386
95200015	16386
95200016	16386
95200017	16386
95200018	16386
95200019	16386
95200020	16386
95200021	16386
95200022	16386
95200023	16386
95200024	16386
95200025	16386
95200101	16386
95200102	16386
100000000	33554465
100000001	33
100000002	33
100000003	33
100000004	33
100000005	33
100000006	33
100000007	33
100000008	33
100000009	33
100000010	33554465
100000011	33
100000012	131076
100000013	131076
100000014	131076
100000015	33
100000020	2
100000021	4
100000022	97
100000023	97
100000024	2
100000025	2
100000026	97
100000027	97
100000028	97
100000029	97
100000030	4
100000031	4
100000032	33
100000033	33
100000034	2
100000035	33
100000036	33
100000037	33
100000038	2
100000039	4
100000040	4
100000041	33
100000042	33
100000043	33554465
100000044	33554465
100000045	33
100000046	33
100000047	33
100000048	33
100000049	33
100000050	33
100000051	33
100000052	33
100000053	33
100000054	33
100000055	33
100000056	33
100000057	33
100000058	33
100000059	33
100000060	33
100000061	33
100000062	33
100000063	33
100000064	33
100000065	33
100000066	33
100000067	33
100000068	4
100000069	33
100000070	2
100000072	2
100000073	4
100000074	33
100000075	4129
100000076	2
100000078	65538
100000079	65538
100000080	524290
100000081	33
100000082	16401
100000083	2
100000084	524290
100000085	33
100000086	4129
100000087	4129
100000088	4
100000089	131076
100000090	4
100000091	4
100000092	4
100000093	65538
100000094	4
100000096	131074
100000097	131074
100000098	131074
100000099	4
100000100	4
100000101	2
100000102	4
100000103	4
100000104	2
100000105	33
100000106	33
100000107	131076
100000108	131076
100000109	131074
100000110	33554465
100000111	131076
100000113	4
100000114	131074
100000115	2
100000116	33
100000117	131076
